English,Shakespearean
"I am ashamed that women are so foolish as to declare war when they should plead on their knees for peace , that they seek authority , supremacy , and power when they are under an obligation to serve , love , and obey .","I am ashamed that women are so simple To offer war where they should kneel for peace ; Or seek for rule , supremacy and sway When they are bound to serve , love , and obey ."
"Why are our bodies soft and weak and smooth , unfit for toil and trouble in the world , if not so that our soft qualities and our hearts should agree with our external parts ?","Why are our bodies soft and weak and smooth , Unapt to toil and trouble in the world , But that our soft conditions and our hearts Should well agree with our external parts ?"
"Come , come , you weak , ungovernable worms !","Come , come , you froward and unable worms !"
"My spirit has been as proud as each of yours , my courage as great , and my reason perhaps even better suited to bandy words back and forth and exchange frown for frown .","My mind hath been as big as one of yours , My heart as great , my reason haply more , To bandy word for word and frown for frown ."
"But now I see our weapons are like straws , our strength like a straw's weakness , and our weakness past comparison , so that we seem to be the thing we most are not .","But now I see our lances are but straws , Our strength as weak , our weakness past compare , That seeming to be most which we indeed least are ."
"Come on and kiss me , Kate .","Come on and kiss me , Kate ."
It's nice to see children playing well together .,Tis a good hearing when children are toward .
But not so nice when women misbehave .,But a harsh hearing when women are froward .
"Come , Kate , let's go to bed .","Come , Kate , we'll to bed ."
"We three are married , but you two are defeated .","We three are married , but you two are sped ."
"It's amazing , if I may say so , that she let herself be tamed .","Tis a wonder , by your leave , she will be tamed so ."
"Madam wife , they say I've been dreaming or asleep for more than fifteen years .","Madam wife , they say that I have dreamed And slept above some fifteen year or more ."
"Yes , and it seemed twice as long to me , having been kept from your bed that whole time .","Ay , and the time seems thirty unto me , Being all this time abandoned from your bed ."
"That's too long. , Servants , leave her and me alone .","Tis much. , Servants , leave me and her alone ."
"Now , madam , undress and come to bed .","Madam , undress you and come now to bed ."
"Thrice noble lord , I beg you to excuse me for another night or two , or at least until nightfall .","Thrice noble lord , let me entreat of you To pardon me yet for a night or two , Or if not so , until the sun be set ."
"Your doctors have expressly forbidden me to sleep with you , as there's a risk that you might have a relapse .","For your physicians have expressly charged , In peril to incur your former malady , That I should yet absent me from your bed ."
I hope this explanation will stand as my excuse .,I hope this reason stands for my excuse .
I'm not sure I can wait that long .,"Ay , it stands so that I may hardly tarry so long ."
"Still , I'd hate to see my former dreams return .",But I would be loath to fall into my dreams again .
"So I Your Honor's actors , hearing of your recovery , have come to perform a pleasing comedy for you , and your doctors approve wholeheartedly .","Your Honor's players , hearing your amendment , Are come to play a pleasant comedy , For so your doctors hold it very meet , Seeing too much sadness hath congealed your blood , And melancholy is the nurse of frenzy ."
"So they think it's a good idea for you to watch a play and direct your thoughts toward laughter and merriment , two strong preventive medicines that foster long life .","Therefore they thought it good you hear a play And frame your mind to mirth and merriment , Which bars a thousand harms and lengthens life ."
"Okay , bring on the play .",Let them play it .
"What , like stuff from a house ?","What , household stuff ?"
"No , it's a story .",It is a kind of history .
"Well , let's watch it .","Well , we'll see 't ."
We're not getting any younger .,We shall ne'er be younger .
"I was born in Pisa , famous for its serious citizens , like my father before me ; my father , Vincentio , a successful , world-traveled merchant , was one of the","Pisa , renowned for grave citizens , Gave me my being and my father first , A merchant of great traffic through the world , Vincentio , come of the Bentivolii ."
"I'll fix you , I swear .","I'll pheeze you , in faith ."
You thug !,"A pair of stocks , you rogue !"
Read your history !,"Y'are a baggage , the Slys are no rogues ."
We You won't pay for the glasses you smashed ?,Therefore You will not pay for the glasses you have burst ?
"No , not a penny .","No , not a denier ."
Get out of my face .,"Go by , Saint Jeronimy ."
Go play with yourself .,Go to thy cold bed and warm thee .
I know my rights .,I know my remedy .
"I'm not moving an inch , pal .","I'll not budge an inch , boy ."
"Let them come , I don't care .","Let him come , and kindly ."
That's good advice .,"Gramercies , Tranio , well dost thou advise ."
Wait !,But stay awhile .
Who are all these people ?,What company is this ?
"Maybe it's a parade to welcome us to town , master .","Master , some show to welcome us to town ."
"Don't worry , I couldn't care less .","I ' faith , sir , you shall never need to fear ."
"The only possible interest I could take in you would be to hit you on the head with a stool , paint your face with blood , and make a fool out of you .","But if it were , doubt not her care should be To comb your noddle with a three-legged stool And paint your face and use you like a fool ."
May the good Lord keep me safe from all women like her !,"From all such devils , good Lord , deliver us !"
"Me too , Lord !","And me too , good Lord !"
What a spoiled little brat .,Maid's mild behavior and sobriety .
"Sister , be happy in my unhappiness. , Sir , I will humbly obey you .","Sister , content you in my discontent. , Sir , to your pleasure humbly I subscribe ."
"I'll take comfort in my books and music , reading and practicing my instruments .","My books and instruments shall be my company , On them to look and practice by myself ."
Listen Tranio !,"Hark , Tranio !"
"That's Signior Baptista , will you really be this cruel ?","Signior Baptista , will you be so strange ?"
"Why are you locking her away because of this fiend from hell , Signor Baptista ?","Why will you mew her up , Signior Baptista , for this fiend of hell And make her bear the penance of her tongue ?"
"And because I know how fond she is of music , playing her instruments , and poetry , I plan to hire live-in tutors for her .","And for I know she taketh most delight In music , instruments , and poetry , Schoolmasters will I keep within my house , Fit to instruct her youth ."
"Katherina , you may stay .","And so farewell. , Katherina , you may stay , For I have more to commune with Bianca ."
I don't think so !,"Why , and I trust I may go too , may I not ?"
"Am I to be dictated to , like a child ?","What , shall I be appointed hours as though , belike , I knew not what to take and what to leave , ha ?"
You can go straight to hell !,You may go to the devil's dam !
So long .,Farewell .
"That is , if we ever want to return to being rivals for Bianca's love .","Though the nature of our quarrel yet never brooked parle , know now upon advice , it toucheth us both , that we may yet again have access to our fair mistress and be happy rivals in Bianca's love , to labor and effect one thing specially ."
"And that would be , ?","What's that , I pray ?"
To find a husband for her sister .,"Marry , sir , to get a husband for her sister ."
A husband ?,A husband ?
You mean a devil !,A devil !
I mean a husband .,I say a husband .
I say a devil .,I say a devil .
"Do you really think there's a man fool enough to marry into hell , however rich the father is ?","Think'st thou , Hortensio , though her father be very rich , any man is so very a fool to be married to hell ?"
"Oh , I don't know .","Tush , Gremio ."
"Guys who'd take her with all her faults , provided there were enough money involved .","Though it pass your patience and mine to endure her loud alarums , why , man , there be good fellows in the world , an a man could light on them , would take her with all faults , and money enough ."
I don't know .,I can not tell .
"What do you say , Signior Gremio ?","How say you , Signior Gremio ?"
"This imaginary suitor for Katherina , I'd buy him the best horse in Padua if he'd get here quickly , woo her , marry her , take her to bed , and rid the house of her .","I am agreed , and would I had given him the best horse inv Padua to begin his wooing that would thoroughly woo her , wed her , and bed her , and rid the house of her !"
Let's go .,Come on .
"Sir , is it possible that a person could fall in love so suddenly ?","I pray , sir , tell me , is it possible That love should of a sudden take such hold ?"
"Oh , Tranio , until it happened to me , I never would have thought it possible .","O Tranio , till I found it to be true , I never thought it possible or likely ."
The heart won't be reasoned with .,Affection is not rated from the heart .
"If love has touched you , love has touched you , end of story .","If love have touched you , naught remains but so : Gramercies , lad , go forward ."
"Yes , you're right .",This contents .
Please go on .,"The rest will comfort , for thy counsel's sound ."
"I feel better already , and I know there's more good advice where that came from .","Master , you looked so longly on the maid , Perhaps you marked not what's the pith of all ."
"Master , you were so focused on the girl herself , I wonder if you missed the main point here .","Oh yes , I saw sweet beauty in her face Such as the daughter of Agenor had , That made great Jove to humble him to her hand When with his knees he kissed the Cretan strand ."
Oh no !,Saw you no more ?
"Tranio , I saw her coral-pink lips move and perfume the air with her breath .","Tranio , I saw her coral lips to move And with her breath she did perfume the air ."
"Oh , Tranio , what a cruel father he is .","Ah , Tranio , what a cruel father's he !"
"Still , did you notice how ready he was to hire good tutors for her ?","But art thou not advised , he took some care To get her cunning schoolmasters to instruct her ?"
"I did , and now I've got it !","Ay , marry , am I , sir ; and now 'tis plotted !"
"Tranio , I think I've got it !","I have it , Tranio !"
"I'll bet we're both thinking the same thing , master .","Master , for my hand , Both our inventions meet and jump in one ."
Tell me your idea first .,Tell me thine first .
You will pretend to be a schoolmaster and offer to teach the girl .,You will be schoolmaster And undertake the teaching of the maid : That's your device .
It is .,It is .
Do you think it would work ?,May it be done ?
"No , not a chance .",Not possible .
Enough !,"Tis hatched , and shall be so ."
It's obvious : Here comes Biondello .,"When Biondello comes , he waits on thee , But I will charm him first to keep his tongue ."
"Where have you been , boy ?",Where have I been ?
"Where have Come here , boy .","Nay , how now , where are you ?"
It's no time for jokes : sober up .,"Sirrah , come hither : 'tis no time to jest , And therefore frame your manners to the time ."
Understand ?,You understand me ?
"Of course , sir .","Aye , sir ."
And you're not to utter a syllable of Tranio's name .,"And not a jot of ""Tranio"" in your mouth ."
Wish I could say the same .,Would I were so too .
I'd second your wish if it automatically meant that Lucentio could have Baptista's youngest daughter .,"So could I , faith , boy , to have the next wish after , That Lucentio indeed had Baptista's youngest daughter ."
"This is for your master's sake , not mine .","But , sirrah , not for my sake , but your master's , I advise You use your manners discreetly in all kind of companies ."
"When we're by ourselves you can call me ""Tranio."" Everywhere else , address me as your master Lucentio .","When I am alone , why then I am Tranio ; But in all places else , your master Lucentio ."
"Tranio , let's go .","Tranio , let's go ."
"One last thing , and this is up to you .","One thing more rests , that thyself execute , to make one among these wooers ."
You'll have to woo Bianca like the rest .,"If thou ask me why , sufficeth my reasons are both good and weighty ."
Don't ask why .,"My lord , you nod ."
"No , no .",You do not mind the play .
Very impressive .,"A good matter , surely ."
"Is there any more , or is that it ?",Comes there any more of it ?
"And what an excellent piece of work it is , too , madam lady !","Tis a very excellent piece of work , madam lady ."
I wish it were over .,Would 'twere done .
"Huntsman , look after my hounds .","Huntsman , I charge thee , tender well my hounds ."
"Let Merriman catch his breath , the poor dog's foaming at the mouth .","Breathe Merriman , the poor cur is embossed , And couple Clowder with the deep-mouthed brach ."
"I think Belman is just as good , my lord .","Why , Belman is as good as he , my lord ."
I swear he's the better dog .,"Trust me , I take him for the better dog ."
You're a fool .,Thou art a fool .
"If Echo were as fast , he would be worth a dozen like Belman .","If Echo were as fleet , I would esteem him worth a dozen such ."
But give them all a good dinner and look after them well .,But sup them well and look unto them all .
"I'll go hunting again tomorrow , I think .",Tomorrow I intend to hunt again .
"I will , my lord .","I will , my lord ."
What's this ?,What's here ?
A drunkard or a corpse ?,"One dead , or drunk ?"
Check and see if he's breathing .,"See , doth he breathe ?"
"He is , my lord .","He breathes , my lord ."
But this would be too cold a place to sleep if he hadn't warmed himself with ale .,"Were he not warmed with ale , This were a bed but cold to sleep so soundly ."
"Alas , grim death , how vile and ugly your near-twin , sleep , is !","Grim death , how foul and loathsome is thine image !"
What do you think ?,"Sirs , I will practice on this drunken man ."
"I'm off to visit my friends in Padua , particularly my best friend Hortensio .","Verona , for a while I take my leave , To see my friends in Padua , but of all My best beloved and approved friend , Hortensio ."
And I think this is his house .,And I trow this is his house .
"Here , you there , Grumio .","Here , sirrah Grumio ."
Knock .,"Knock , I say ."
"Knock , sir ?","Knock , sir ?"
Whom should I knock ?,Whom should I knock ?
Has anyone offended your Worship ?,Is there any man has rebused your Worship ?
Moron !,"Knock you here , sir ?"
I'm telling you to make a fist and pound .,"Villain , I say , knock me at this gate And rap me well , or I'll knock your knave's pate ."
My master is being difficult .,My master is grown quarrelsome .
"Say , what's the trouble ?","How now , what's the matter ?"
"If it isn't my old friend Grumio , and my dear friend Petruchio !",My old friend Grumio and my good friend Petruchio ?
How's everyone in Verona ?,How do you all at Verona ?
"Hortensio , have you come to break up the fight ?","Signior Hortensio , come you to part the fray ?"
I don't care what he told you in Latin .,"Nay , 'tis no matter , sir , what he 'leges in Latin ."
I told him to knock at your gate and for the life of me could not get him to do it .,I bade the rascal knock upon your gate And could not get him for my heart to do it .
Knock at the gate ?,Knock at the gate ?
"Oh , for Pete's sake !",O heavens !
"Didn't you clearly say ""Knock , "" ""pound , "" and ""put your fists to work"" ?","Spake you not these words plain : ""Sirrah , knock me here , rap me here , knock me well , and knock me soundly"" ?"
"Now you say it was ""Knock at the gate"" ?","And come you now with ""knocking at the gate"" ?"
I'm warning you .,"Petruchio , patience ."
"Easy , Petruchio .",I am Grumio's pledge .
I'll vouch for Grumio .,"Why , this ' a heavy chance 'twixt him and you , Your ancient , trusty , pleasant servant Grumio ."
"Now , my dear friend , what lucky wind blows you in from Verona ?","And tell me now , sweet friend , what happy gale Blows you to Padua here from old Verona ?"
"The wind that scatters young men throughout the world , encouraging them to seek their fortunes some place other than home , where there's little to be found in the way of experience .","Such wind as scatters young men through the world To seek their fortunes farther than at home , Where small experience grows ."
"I have money in my purse and property at home , so I'm off to see the world .","Crowns in my purse I have and goods at home , And so am come abroad to see the world ."
"I doubt you'd thank me in the end , but she's rich , all right , very rich .","Thou'dst thank me but a little for my counsel ; And yet I'll promise thee she shall be rich , And very rich ."
But you're too good a friend for me to wish her on you .,"But thou'rt too much my friend , And I'll not wish thee to her ."
"Hortensio , good friends like us can get by on a few words .","Signior Hortensio , 'twixt such friends as we Few words suffice ."
"I can help you find a wife who's rich , young , beautiful , and reared in a manner fit for a gentlewoman .","I can , Petruchio , help thee to a wife With wealth enough , and young and beauteous , Brought up as best becomes a gentlewoman ."
"Her only flaw , and it's a big one , is that she's unbearable , a total witch , so much so that I wouldn't think of marrying her myself , not even if I were in a worse fix than I am , not for a whole goldmine .","Her only fault , and that is faults enough , Is that she is intolerable curst , And shrewd and froward , so beyond all measure That , were my state far worser than it is , I would not wed her for a mine of gold ."
"Hush , Hortensio .","Hortensio , peace ."
You don't know what money can buy .,Thou know'st not gold's effect .
"Her father is Baptista Minola , a pleasant and courteous gentleman .","Her father is Baptista Minola , An affable and courteous gentleman ."
"Her name is Katherina Minola , famous throughout Padua for her scolding tongue .","Her name is Katherina Minola , Renowned in Padua for her scolding tongue ."
"I don't know her , but I know her father and he knew mine well .","I know her father , though I know not her , And he knew my deceased father well ."
"I won't sleep until I see her , Hortensio .","I will not sleep , Hortensio , till I see her , And therefore let me be thus bold with you To give you over at this first encounter , Unless you will accompany me thither ."
"Wait , Petruchio , I should go with you .","Tarry , Petruchio , I must go with thee , For in Baptista's keep my treasure is ."
"His youngest daughter , the beautiful Bianca , is the jewel of my life , and he keeps her hidden away from me and other rivals for her hand .","He hath the jewel of my life in hold , His youngest daughter , beautiful Bianca , And her withholds from me and other more , Suitors to her and rivals in my love , Supposing it a thing impossible , For those defects I have before rehearsed , That ever Katherina will be wooed ."
"Katherine the shrew ! "" That's the worst thing you can call a young woman .","Katherine the curst ! "" A title for a maid of all titles the worst ."
"Now my friend Petruchio will help me out , presenting me to old Baptista as a schoolmaster for Bianca well-versed in music .","Now shall my friend Petruchio do me grace , And offer me disguised in sober robes To old Baptista as a schoolmaster Well seen in music , to instruct Bianca , That so I may , by this device at least , Have leave and leisure to make love to her And , unsuspected , court her by herself ."
I'll disguise myself in somber robes .,Here's no knavery !
"Oh , Master , master , look !","Master , master , look about you ."
Who are these people ?,"Who goes there , ha ?"
"Hush , Grumio .","Peace , Grumio ."
It is my rival for Bianca .,It is the rival of my love .
"Petruchio , let's stand over here awhile .","Petruchio , stand by a while ."
"Oh , what an excellent thing this learning is !","O this learning , what a thing it is !"
"Good to see you , Signior Hortensio .","And you are well met , Signior Hortensio ."
Do you know where I'm going ?,Trow you whither I am going ?
To Baptista Minola's house .,To Baptista Minola .
That's great .,Tis well .
And I have met a gentleman who promises to help me find a good music tutor to instruct our lady love .,"And I have met a gentleman Hath promised me to help me to another , A fine musician to instruct our mistress ."
"Gremio , this is no time to compete over how deeply we love Bianca .","Gremio , 'tis now no time to vent our love ."
"That's good , if he'll really do it .","So said , so done , is well ."
"Have you told him all her faults , Hortensio ?","Hortensio , have you told him all her faults ?"
"I know she is a hateful , brawling scold .",I know she is an irksome brawling scold .
"If that's all , gentlemen , I see no problem .","If that be all , masters , I hear no harm ."
No ?,No ?
"Tell me , friend .","Say'st me so , friend ?"
Where are you from ?,What countryman ?
"My father's dead , and his fortune is mine now .","My father dead , my fortune lives for me ."
"I hope to see good days , and many of them .",And I do hope good days and long to see .
"Sir , such a life with such a wife is unlikely !","O sir , such a life with such a wife were strange !"
"But if you have the stomach for it , you'll have all the help from me you need .","But if you have a stomach , to 't , i ' God's name : You shall have me assisting you in all ."
Do you really mean to go after this wildcat ?,But will you woo this wildcat ?
Why did I come here if not for that ?,Why came I hither but to that intent ?
"I , who have survived storms at sea where the winds raged like wild animals ?","Have I not heard the sea , puffed up with winds , Rage like an angry boar chafed with sweat ?"
"I , who have heard the rumble of guns in battle , and thunder in the sky ( heaven's version of artillery ) .","Have I not heard great ordnance in the field , And heaven's artillery thunder in the skies ?"
"Listen , Hortensio .","Hortensio , hark ."
"Absolutely , so long as he gets the girl .","And so we will , provided that he win her ."
I wish I could be as certain of a good dinner .,I would I were as sure of a good dinner .
Is that the man you want ?,"He that has the two fair daughters , is 't he you mean ?"
"But not the woman who scolds , anyway , I hope .","Not her that chides , sir , at any hand , I pray ."
"Sir , a word before you go .","Sir , a word ere you go ."
"Are you a suitor to the girl we speak of , yes or no ?","Are you a suitor to the maid you talk of , yea or no ?"
What if I am ?,"An if I be , sir , is it any offense ?"
"Not if you go away , there isn't .","No , if without more words you will get you hence ."
"Because , if you must know , she's been chosen by Signior Gremio .","For this reason , if you'll know : That she's the choice love of Signior Gremio ."
Because she's been chosen by Signior Hortensio .,That she's the chosen of Signior Hortensio .
"Wait a minute , gentlemen .","Softly , my masters ."
Be good enough to hear me out .,"If you be gentlemen , Do me this right : hear me with patience ."
"Baptista is a noble gentleman , one to whom my father is not completely unknown , and lovely as his daughter is , she is entitled to any number of suitors , myself among them .","Baptista is a noble gentleman , To whom my father is not all unknown , And were his daughter fairer than she is , She may more suitors have , and me for one ."
"I don't think he'd have any choice , my lord .","Believe me , lord , I think he can not choose ."
"When he woke , he wouldn't know where he was .",It would seem strange unto him when he waked .
It would be just like a nice daydream or fantasy .,Even as a flatt'ring dream or worthless fancy .
"Well , take him on up and we'll try to pull it off .",Then take him up and manage well the jest .
"Carry him to my best room , gently , so he doesn't wake , and hang all my erotic paintings around him .",Carry him gently to my fairest chamber And hang it round with all my wanton pictures .
"Bathe his filthy head with warm , scented water .",Balm his foul head in warm distilled waters And burn sweet wood to make the lodging sweet .
"Convince him that he has been out of his mind , and when he says he's out of his mind My lord , I promise we will play our parts so skillfully that he will believe everything we tell him .","My lord , I warrant you we will play our part As he shall think by our true diligence He is no less than what we say he is ."
The beautiful Helen of Troy had a thousand suitors .,Fair Leda's daughter had a thousand wooers ; Then well one more may fair Bianca have .
This fellow will out-talk us all .,This gentleman will out-talk us all .
"Hortensio , what's all this about ?","Hortensio , to what end are all these words ?"
"Yes , leave that labor to great Hercules , it's worse than the previous twelve put together .","Yea , leave that labor to great Hercules , And let it be more than Alcides ' twelve ."
"Sir , that's well said and well thought out .","Sir , you say well , and well you do conceive ."
An excellent motion .,O excellent motion !
Let's go .,"Fellows , let's be gone ."
I second that,"The motion's good indeed and be it so. , Petruchio , I shall be your"
"Dear sister , it's unfair to me , and unfair to yourself , to turn me into a slave .","Good sister , wrong me not nor wrong yourself , To make a bondmaid and a slave of me ."
That I won't stand for .,That I disdain .
And don't lie .,See thou dissemble not .
You lying brat .,"Minion , thou liest ."
"It's Hortensio , isn't it ?",Is 't not Hortensio ?
"Oh , I see .","Oh , then belike you fancy riches more ."
You'll live in luxury with Gremio .,You will have Gremio to keep you fair .
Is it because of,Is it for him you do envy me so ?
"What , in my presence ?","What , in my sight ? , Bianca , get thee in ."
You mean you don't even want to hear my side ?,"What , will you not suffer me ?"
Don't talk to me .,Talk not to me .
Now what ?,But who comes here ?
"Good morning , neighbor Baptista .","Good morrow , neighbor Baptista ."
"Good morning , neighbor Gremio .","Good morrow , neighbor Gremio. , God save you , gentlemen !"
"And to you , good sir .","And you , good sir ."
"Tell me , don't you have a virtuous and lovely daughter named Katherina ?","Pray , have you not a daughter Called Katherina , fair and virtuous ?"
"I have a daughter named Katherina , sir .","I have a daughter , sir , called Katherina ."
"Please , Signior Gremio .","You wrong me , Signior Gremio ."
"Allow me to continue. , I am a gentleman of Verona , sir , who , hearing of your daughter's beauty and wit , her friendly disposition and bashful modesty , her uncommon virtues and her mild behavior , have taken the liberty of presenting myself as a guest at your house in the hope of seeing for myself if what I've heard is true .","Give me leave. , I am a gentleman of Verona , sir , That hearing of her beauty and her wit , Her affability and bashful modesty , Her wondrous qualities and mild behavior , Am bold to show myself a forward guest Within your house , to make mine eye the witness Of that report which I so oft have heard ."
"You and he are both welcome , sir .","You're welcome , sir , and he for your good sake ."
"As for my daughter Katherine , this much I know : she's not for you , more's the pity .","But for my daughter Katherine , this I know , She is not for your turn , the more my grief ."
"I see you don't intend to part with her , or perhaps you don't like my company .","I see you do not mean to part with her , Or else you like not of my company ."
"Don't misunderstand me , sir .",Mistake me not .
I'm just stating the facts as I see them .,I speak but as I find .
Where are you from ?,"Whence are you , sir ?"
What's your name ?,What may I call your name ?
"My name is Petruchio , son of Antonio , a man well known throughout Italy .","Petruchio is my name , Antonio's son , A man well known throughout all Italy ."
I know him well .,I know him well .
You are welcome for his sake .,You are welcome for his sake .
"You're Forgive me , Signior Gremio , but I'm anxious to get things moving .","Oh , pardon me , Signior Gremio , I would fain be doing ."
"No doubt , but you may be going about it the wrong way , Neighbor , this gift is very gracious , I'm sure .","I doubt it not , sir , but you will curse your wooing. , Neighbor , this is a gift very grateful , I am sure of it ."
"I myself , who am more indebted to you than anyone , have brought you this young scholar","To express the like kindness , myself , that have been more kindly beholding to you than any , freely give unto you this young scholar"
"Many thanks , Signior Gremio .","A thousand thanks , Signior Gremio ."
"Welcome , good Cambio .","Welcome , good Cambio ."
"Your name is Lucentio , you say .",Lucentio is your name .
"Of what city , may I ask ?","Of whence , I pray ?"
A man of great influence .,A mighty man of Pisa .
I know him well by reputation .,By report I know him well .
"You are very welcome here , sir .","You are very welcome , sir ."
Let's take a little walk in the orchard before dinner .,"We will go walk a little in the orchard , And then to dinner ."
You are all most welcome here ; please make yourselves at home .,"You are passing welcome , And so I pray you all to think yourselves ."
"Signior Baptista , I'm actually in a bit of a hurry .","Signior Baptista , my business asketh haste , And every day I can not come to woo ."
"You knew my father well ; therefore , you know me , the sole heir to all his property and possessions , which I have added to rather than depleted .","You knew my father well , and in him me , Left solely heir to all his lands and goods , Which I have bettered rather than decreased ."
"So , tell me , assuming I win your daughter's love , what dowry would she bring to the marriage ?","Then tell me , if I get your daughter's love , What dowry shall I have with her to wife ?"
"Twenty thousand crowns now , and half my lands after my death .","After my death , the one half of my lands , And , in possession , twenty thousand crowns ."
Let's have explicit contracts drawn up to ensure that both sides keep their promises .,"Let specialties be therefore drawn between us , That covenants may be kept on either hand ."
That counts for everything .,"Ay , when the special thing is well obtained , That is , her love , for that is all in all ."
"Oh , that's nothing , believe me , sir .","Why , that is nothing ."
"I'm as commanding as she is proud , and when two raging fires meet , they end up consuming the very thing that kindled them .","For I tell you , father , I am as peremptory as she proud-minded ; And where two raging fires meet together , They do consume the thing that feeds their fury ."
I'm that great gust to her fire .,"So I to her and so she yields to me , For I am rough and woo not like a babe ."
"Well , good luck !","Well mayst thou woo , and happy be thy speed ."
But prepare yourself for some unpleasantness .,But be thou armed for some unhappy words .
"Mountains don't tremble , however much the wind may blow !","Ay , to the proof , as mountains are for winds , That shakes not , though they blow perpetually ."
"Why so pale , my friend ?","How now , my friend , why dost thou look so pale ?"
"Will my daughter be a good musician , do you think ?","What , will my daughter prove a good musician ?"
I think she'll be a better soldier .,I think she'll sooner prove a soldier .
You don't think you can teach her ?,"Why , then thou canst not break her to the lute ?"
"I'll give you frets ! "" With that , she clobbers me with the lute so that my head goes right through ,","I'll fume with them ! "" And with that word she struck me on the head , And through the instrument my pate made way ,"
I like this girl !,"Now , by the world , it is a lusty wench ."
Now I want her more than ever .,I love her ten times more than e'er I did .
I can't wait to meet her !,"Oh , how I long to have some chat with her !"
Please do .,I pray you do .
I'll wait for her here and when she comes I'll take a novel approach with her .,I'll attend her here And woo her with some spirit when she comes .
"If she rants , I'll tell her that she sings as sweetly as a nightingale .",Say that she rail ; why then I'll tell her plain She sings as sweetly as a nightingale .
"If she glares , I'll say her brow is as clear as roses newly washed with morning dew .",Say that she frown ; I'll say she looks as clear As morning roses newly washed with dew .
"If she is silent and won't speak at all , I'll praise her chattiness and say she speaks with piercing eloquence .","Say she be mute and will not speak a word ; Then I'll commend her volubility , And say she uttereth piercing eloquence ."
"If she orders me to go , I'll thank her warmly as if she'd just offered to put me up for a week .","If she do bid me pack , I'll give her thanks , As though she bid me stay by her a week ."
"If she refuses my proposal , I'll tell her how much I'm looking forward to the announcement and the wedding .","If she deny to wed , I'll crave the day When I shall ask the banns and when be married ."
"Carry him gently to bed , and every man be ready at his post when he awakes .","Take him up gently , and to bed with him , And each one to his office when he wakes ."
"Go , lad , and find out what the trumpet's sounding for .","Sirrah , go see what trumpet 'tis that sounds ."
"It's probably some noble gentleman stopping off in mid-journey , thinking to spend the night here .","Belike some noble gentleman that means , Traveling some journey , to repose him here ."
"Sir , it's a troupe of actors who want to perform for your Lordship .","An't please your Honor , players That offer service to your Lordship ."
Have them come in .,Bid them come near .
"You are welcome here , my friends .","Now , fellows , you are welcome ."
We thank your Honor .,We thank your Honor .
Were you thinking of spending the night here ?,Do you intend to stay with me tonight ?
"Yes , if that would be all right with your Lordship .",So please your Lordship to accept our duty .
By all means .,With all my heart .
"I remember this fellow , he once played the eldest son of a farmer .",This fellow I remember Since once he played a farmer's eldest son .
It was the play in which you wooed the gentlewoman so successfully .,Twas where you wooed the gentlewoman so well .
"I have forgotten your name , but you were well cast in the role and played it convincingly .","I have forgot your name , but sure that part Was aptly fitted and naturally performed ."
"Good morning , Kate , for I hear that's what you're called .","Good morrow , Kate , for that's your name , I hear ."
Is that what you've heard ?,"Well have you heard , but something hard of hearing ."
"Driven ? "" Really ?","Moved , "" in good time ."
I had you figured for a piece of furniture .,I knew you at the first You were a moveable .
"What do you mean by ""furniture"" ?","Why , what's a moveable ?"
A nice stool .,A joint stool .
"You're right , actually .",Thou hast hit it .
Come sit on me .,"Come , sit on me ."
"Asses are made for bearing , and so are you .","Asses are made to bear , and so are you ."
Women are made for,"Women are made to bear , and so are you ."
Not by the likes of you !,"No such jade as you , if me you mean ."
"I know how Too light for a lout like you to catch , though no lighter than I should be .","Alas , good Kate , I will not burden thee , For knowing thee to be but young and light , Too light for such a swain as you to catch , And yet as heavy as my weight should be ."
Should be ?,"Should be"" , should buzz !"
"If I'm a wasp , look out for my stinger .","If I be waspish , best beware my sting ."
All I have to do is remove it .,My remedy is then to pluck it out .
"True , if a fool such as yourself could find it .","Ay , if the fool could find it where it lies ."
Everyone knows where a wasp wears its stinger .,Who knows not where a wasp does wear his sting ?
In its tail .,In his tail .
"No , in its tongue .",In his tongue .
Whose tongue ?,Whose tongue ?
"Yours , if we're talking about I'm leaving .","Yours , if you talk of tales ."
You're leaving with my tongue in your tail ?,"What , with my tongue in your tail ?"
"No , come back , Kate .","Nay , come again , Good Kate ."
We'll see about that !,That I'll try .
I swear I'll smack you if you hit me again .,I swear I'll cuff you if you strike again .
Not if you want to keep your arms !,So may you lose your arms .
It has no fighting spirit .,No cock of mine .
"Oh , come on now , Kate .","Nay , come , Kate , come ."
Don't look so sour .,You must not look so sour .
"That's my way , when I see a crab-apple .","It is my fashion , when I see a crab ."
"There's no crab-apple here , so don't look sour .","Why , here's no crab , and therefore look not sour ."
There is a crab-apple here .,"There is , there is ."
Show me .,Then show it me .
"I would , if I had a mirror .","Had I a glass , I would ."
"What , you mean my face looks like a crab-apple ?","What , you mean my face ?"
"You know , you're right .",Well aimed of such a young one .
I probably am too young for you .,"Now , by Saint George , I am too young for you ."
"Maybe , but you're wrinkled all the same .",Yet you are withered .
"Oh , that's with worry .",Tis with cares .
"Well , that doesn't worry me .",I care not .
Let me go .,Let me go .
"No , not a bit .","No , not a whit ."
I find you quite gentle .,I find you passing gentle .
"I was told that you were violent , proud , and sullen .","Twas told me you were rough and coy and sullen , And now I find report a very liar ."
