,input,target
15591,Their guilt was upon my guiltless shoulders because I was provoked by her tongue.,"I was provoked by her sland'rous tongue , That laid their guilt upon my guiltless shoulders ."
15592,"Thou was provoked by his bloody mind, that never dream'st on aught but butcheries.","Thou wast provoked by thy bloody mind , That never dream'st on aught but butcheries ."
15593,Is it possible that you didn't kill this king.,Didst thou not kill this king ?
15594,I am willing to give you the benefit of the doubt.,I grant you .
15595,"Is it possible to grant me, hedgehog?","Dost grant me , hedgehog ?"
15596,"Thou may be damned for that wicked deed, then, God, grant me as well.","Then , God grant me too Thou mayst be damned for that wicked deed ."
15597,"He was gentle, mild, and righteous.","O , he was gentle , mild , and virtuous ."
15598,The best thing for the King of heaven is that he is free.,The better for the King of heaven that hath him .
15599,He is in a place where he will never be seen.,"He is in heaven , where thou shalt never come ."
15600,"Let him say thank you, for he was better suited for that place than the earth was.","Let him thank me , that holp to send him thither , For he was fitter for that place than earth ."
15601,I have been here in these confines to watch the waning of my enemies.,Here in these confines slyly have I lurked To watch the waning of mine enemies .
15602,"I will to France hoping that the consequence will be bitter, black, and tragical.","A dire induction am I witness to , And will to France , hoping the consequence Will prove as bitter , black , and tragical ."
15603,"Margaret, withdraw thee, wretched.","Withdraw thee , wretched Margaret ."
15604,Who arrives here?,Who comes here ?
15605,My princes are poor!,"Ah , my poor princes !"
15606,"If your gentle souls fly in the air and be not fixed in doom, hover about me with your airy wings, and hear your mother's moan.","Ah , my tender babes , My unblown flowers , new-appearing sweets , If yet your gentle souls fly in the air And be not fixed in doom perpetual , Hover about me with your airy wings And hear your mother's lamentation ."
15607,Say that right for right Hath dimmed your infant's morn and aged night.,Hover about her ; say that right for right Hath dimmed your infant morn to aged night .
15608,My voice has become crazy because my tongue is still and silent.,So many miseries have crazed my voice That my woe-wearied tongue is still and mute .
15609,"Why art, Edward Plantagenet, is dead.","Edward Plantagenet , why art thou dead ?"
15610,Is it possible to fly from such gentle lambs and then throw them in the wolves' entrails?,"Wilt thou , O God , fly from such gentle lambs And throw them in the entrails of the wolf ?"
15611,When was the last time you slept when such a deed was done?,When didst thou sleep when such a deed was done ?
15612,"Let my griefs frown on the upper hand, because I want mine to benefit from seigniory.","Give mine the benefit of seigniory , And let my griefs frown on the upper hand ."
15613,"I had a Richard as well, and I did't hesitate to kill him.","I had a Richard too , and thou did'st kill him ; I had a Rutland too ; thou holp'st to kill him ."
15614,"O upright, just, and true-disposing God, how do I thank thee that this man Preys on the issue of his mother's body, and makes her pew-fellow with other people?","O upright , just , and true-disposing God , How do I thank thee that this carnal cur Preys on the issue of his mother's body And makes her pew-fellow with others ' moan !"
15615,"O Harry's wife, triumph not in my problems.","O Harry's wife , triumph not in my woes !"
15616,"I have cried for you, God witness with me.","God witness with me , I have wept for thine ."
15617,"My Edward is dead, my other Edward is dead, and Young York is but boot because they Matched not the high perfection of my loss.","Thy Edward he is dead , that killed my Edward , Thy other Edward dead , to quit my Edward ; Young York , he is but boot , because both they Matched not the high perfection of my loss ."
15618,"Clarence is dead, and the beholders of this frantic play are smothered in their dusky graves.","Thy Clarence he is dead that stabbed my Edward , And the beholders of this frantic play , Th ' adulterate Hastings , Rivers , Vaughan , Grey , Untimely smothered in their dusky graves ."
15619,"Richard lives, hell's black intelligencer, Only reserved their factor to buy souls, and send them away.","Richard yet lives , hell's black intelligencer , Only reserved their factor to buy souls And send them thither ."
15620,"Cancel his bond of life, dear God, I pray that I will live to say that the dog is dead.","Cancel his bond of life , dear God I pray , That I may live to say , ""The dog is dead."""
15621,It was prophesied that the time would come that I should wish for the help of the toad.,"O , thou didst prophesy the time would come That I should wish for thee to help me curse That bottled spider , that foul bunch-backed toad !"
15622,"The presentation of but what I was, The flattering index of a direful pageant, One heaved a-high, to be thrown down below.","I called thee then ""vain flourish of my fortune."" I called thee then poor shadow , ""painted queen , "" The presentation of but what I was , The flattering index of a direful pageant , One heaved a-high , to be hurled down below , A mother only mocked with two fair babes , A dream of what thou wast , a garish flag To be the aim of every dangerous shot , A sign of dignity , a breath , a bubble , A queen in jest , only to fill the scene ."
15623,Where is the husband now?,Where is thy husband now ?
15624,Where are your brothers?,Where be thy brothers ?
15625,Where are the two sons of you?,Where are thy two sons ?
15626,"The course of justice whirled about and left thee, but a very prey to time, having no more but thought of what to do to thee.","Thus hath the course of justice whirled about And left thee but a very prey to time , Having no more but thought of what thou wast To torture thee the more , being what thou art ."
15627,Do you not think that Usurp the just proportion of my sadness is appropriate?,"Thou didst usurp my place , and dost thou not Usurp the just proportion of my sorrow ?"
15628,I will be happy in France because of these English problems.,These English woes will make me smile in France .
15629,I need to learn how to curse mine enemies. I need to stay awhile.,"O , thou well-skilled in curses , stay awhile , And teach me how to curse mine enemies ."
15630,"Forbear to sleep the nights, and fast the days, and think that the babes were sweeter than they were.","Forbear to sleep the nights , and fast the days ; Compare dead happiness with living woe ; Think that thy babes were sweeter than they were , And he that slew them fouler than he is ."
15631,Making the bad causer worse is the consequence of bettering the loss.,Bettering thy loss makes the bad causer worse .
15632,Revolving this will teach the person how to curse.,Revolving this will teach thee how to curse .
15633,My words aren't very interesting.,My words are dull .
15634,"O, speed them up with your strength.","O , quicken them with thine !"
15635,My troubles will make them sharp and pierce like them.,Thy woes will make them sharp and pierce like mine .
15636,The calamity should not be filled with words.,Why should calamity be full of words ?
15637,"If that is the case, then you should not be tongue-tied.","If so , then be not tongue-tied ."
15638,"Go with me, and let's smother my damned son that my two sweet sons smothered.","Go with me , And in the breath of bitter words let's smother My damned son that thy two sweet sons smothered ."
15639,Who is watching my expedition?,Who intercepts my expedition ?
15640,She might have killed thee by strangulating her in her uterus.,"O , she that might have intercepted thee , By strangling thee in her accursed womb , From all the slaughters , wretch , that thou hast done ."
15641,The slaughter of the prince that owed that crown and the dire death of my poor sons and brothers should be branded with a golden crown.,"Hid'st thou that forehead with a golden crown Where should be branded , if that right were right , The slaughter of the prince that owed that crown And the dire death of my poor sons and brothers ?"
15642,Where are my children? I want to know.,"Tell me , thou villain-slave , where are my children ?"
15643,"Where is gentle Rivers, Vaughan, and Grey?","Where is gentle Rivers , Vaughan , Grey ?"
15644,What is the location of kind Hastings?,Where is kind Hastings ?
15645,Strike the drums!,"Strike alarum , drums !"
15646,Rail on the Lord's anointed should not be heard by the heavens.,Let not the heavens hear these telltale women Rail on the Lord's anointed .
15647,I want you to strike.,"Strike , I say !"
15648,I will drown your exclamations if you either be patient and entreat me fair or with the clamorous report of war.,"Either be patient and entreat me fair , Or with the clamorous report of war Thus will I drown your exclamations ."
15649,"My son, what art are you doing?",Art thou my son ?
15650,"I would like to thank God, my father, and yourself.","Ay , I thank God , my father , and yourself ."
15651,Wait until I hear my impatience.,Then patiently hear my impatience .
15652,"I have a touch of your condition, which can not help but make you sound reproof.","Madam , I have a touch of your condition , Which can not brook the accent of reproof ."
15653,Let me say something.,"O , let me speak !"
15654,I'll not hear if you do then.,"Do then , but I'll not hear ."
15655,"In my words, I will be gentle and mild.",I will be mild and gentle in my words .
15656,"Good mother, for I am in haste.","And brief , good mother , for I am in haste ."
15657,Art was so hasty?,Art thou so hasty ?
15658,"God knows that I have stayed for thee, in torment and agony.","I have stayed for thee , God knows , in torment and in agony ."
15659,I wasn't at last able to comfort you.,And came I not at last to comfort you ?
15660,It was a comfortable hour that graced me in the company of my friends.,"What comfortable hour canst thou name , That ever graced me in thy company ?"
15661,"Your Grace To breakfast was called by Humfrey Hower, Faith, and all of them.","Faith , none but Humfrey Hower , that called your Grace To breakfast once , forth of my company ."
15662,I want you to hear me speak.,"I prithee , hear me speak ."
15663,You speak so bitterly.,You speak too bitterly .
15664,"I will never speak to thee again, hear me a word.","Hear me a word , For I shall never speak to thee again ."
15665,So that's right.,So .
15666,"More cause, but less spirit to curse my spirit.","Though far more cause , yet much less spirit to curse Abides in me ."
15667,I say a prayer to her.,I say amen to her .
15668,"Stay there, madam.","Stay , madam ."
15669,I need to speak with you.,I must talk a word with you .
15670,I don't have any more sons of the royal blood to slaughter.,I have no more sons of the royal blood For thee to slaughter .
15671,"You have a daughter named Elizabeth, she's fair and she's royal.","You have a daughter called Elizabeth , Virtuous and fair , royal and gracious ."
15672,Is she going to die for this.,And must she die for this ?
15673,"O, let her live, and I'll ruin her manners, stain her beauty, and make her look bad. Throw over her the veil of infamy.","O , let her live , And I'll corrupt her manners , stain her beauty , Slander myself as false to Edward's bed , Throw over her the veil of infamy ."
15674,I will confess that she was not Edward's daughter and that she may live unscarred of bleeding slaughter.,"So she may live unscarred of bleeding slaughter , I will confess she was not Edward's daughter ."
15675,She was wrong not her birth.,Wrong not her birth .
15676,She is a member of the royal family.,She is a royal princess .
15677,I will say that she is not so to save her life.,"To save her life , I'll say she is not so ."
15678,Her brothers died because of that safety.,And only in that safety died her brothers .
15679,"No, to their lives ill friends were not true.","No , to their lives ill friends were contrary ."
15680,"If grace had blessed thee with a fair life, my babes would have died in a fair death.",My babes were destined to a fairer death If grace had blessed thee with a fairer life .
15681,The hand that launched their hearts was given direction by the head that indirectly gave it.,"Whose hand soever launched their tender hearts , Thy head , all indirectly , gave direction ."
15682,"The murd'rous knife was dull and blunt, but it was whetted on my stone-hard heart, to revel in the entrails of my lambs.","No doubt the murd'rous knife was dull and blunt Till it was whetted on thy stone-hard heart , To revel in the entrails of my lambs ."
15683,"But that still use of grief makes wild grief tame, my tongue should not name my boys, I was in a bay of death, like a poor bark of sails, and tackling reft.","But that still use of grief makes wild grief tame , My tongue should to thy ears not name my boys Till that my nails were anchored in thine eyes , And I , in such a desp'rate bay of death , Like a poor bark of sails and tackling reft , Rush all to pieces on thy rocky bosom ."
15684,"So thrive I in my enterprise, and dangerous success of bloody wars, as I intend more good to you and yours, than ever you or yours were harmed by me.","Madam , so thrive I in my enterprise And dangerous success of bloody wars As I intend more good to you and yours Than ever you or yours were by me harmed !"
15685,"To be discovered, that can do me good, what good is covered with the face of heaven.","What good is covered with the face of heaven , To be discovered , that can do me good ?"
15686,The advancement of your children is being done by a gentle lady.,"The advancement of your children , gentle lady ."
15687,"Up to a scaffold, there is a chance of them losing their heads.","Up to some scaffold , there to lose their heads ."
15688,The high imperial type of this earth's glory is not to the dignity and height of fortune.,"Unto the dignity and height of fortune , The high imperial type of this earth's glory ."
15689,"For any place but hell, you are not fit for it.",And thou unfit for any place but hell .
15690,"If you will hear me name it, that's one place else.","Yes , one place else , if you will hear me name it ."
15691,There is a dungeon.,Some dungeon .
15692,The bedchamber is yours.,Your bedchamber .
15693,I'm going to rest in the chamber where you lie.,Ill rest betide the chamber where thou liest !
15694,"So will it be, madam, until I tell you the truth.","So will it , madam till I lie with you ."
15695,"Be brief, because the process of kindness lasts longer than the date.","Be brief , lest that the process of thy kindness Last longer telling than thy kindness ' date ."
15696,I love my daughter from my heart.,Then know that from my soul I love thy daughter .
15697,My daughter's mother thinks it through her soul.,My daughter's mother thinks it with her soul .
15698,What do you think about this?,What do you think ?
15699,My daughter is loved from the soul of my father.,That thou dost love my daughter from thy soul .
15700,Don't be so hasty to misunderstand my meaning.,Be not so hasty to confound my meaning .
15701,She makes her queen even though he is.,Even he that makes her queen .
15702,Who else should be in this situation?,Who else should be ?
15703,"What are you talking about, Thou?","What , thou ?"
15704,What do you think about it?,How think you of it ?
15705,How can you get her to marry you?,How canst thou woo her ?
15706,"With all my heart, Madame.","Madam , with all my heart ."
15707,"You make me feel bad, madam.","You mock me , madam ."
15708,The way to win your daughter is not this way.,This is not the way To win your daughter .
15709,"Unless you could put on some other shape, and not be Richard, then there is no other way.","There is no other way , Unless thou couldst put on some other shape And not be Richard , that hath done all this ."
15710,Say that I did this for her.,Say that I did all this for love of her .
15711,She can't choose but hates thee because she bought love with such a bloody spoil.,"Nay , then indeed she can not choose but hate thee , Having bought love with such a bloody spoil ."
15712,What is done can not be changed now.,Look what is done can not be now amended .
15713,"Men will sometimes deal unadvisedly, which after-hours give leisure to repent.","Men shall deal unadvisedly sometimes , Which after-hours give leisure to repent ."
15714,"If I took the kingdom from your sons, I will give it to your daughter.","If I did take the kingdom from your sons , To make amends I'll give it to your daughter ."
15715,"If I have killed the issue of your uterus, I will get the issue of your blood upon your daughter.","If I have killed the issue of your womb , To quicken your increase I will beget Mine issue of your blood upon your daughter ."
15716,"A mother's title is doting, but her grandam's name is less in love.",A grandam's name is little less in love Than is the doting title of a mother .
15717,"My age will be a comfort to you, because your children were vexation to your youth.","Your children were vexation to your youth , But mine shall be a comfort to your age ."
15718,Accept such kindness as I can because I can't make you what I'd want.,I can not make you what amends I would ; Therefore accept such kindness as I can .
15719,We have many good days to look at.,"What , we have many goodly days to see !"
15720,"Go then, my mother, and to my daughter.","Go then , my mother ; to thy daughter go ."
15721,What was the best thing I could say?,What were I best to say ?
15722,Her father's brother would be her leader.,Her father's brother Would be her lord ?
15723,Is it possible to say her uncle.,Or shall I say her uncle ?
15724,Or he slew her brothers and her family?,Or he that slew her brothers and her uncles ?
15725,"Can make seem pleasing to her tender years, under what title shall I woo for thee, that God, the law, my honor, and her love?","Under what title shall I woo for thee , That God , the law , my honor and her love Can make seem pleasing to her tender years ?"
15726,England's peace has been fair by this alliance.,Infer fair England's peace by this alliance .
15727,Which she will purchase with the war.,Which she shall purchase with still-lasting war .
15728,"The king's King forbids her from telling him that, but she should tell him that.","Tell her the king , that may command , entreats , That , at her hands , which the king's King forbids ."
15729,She will be a high and powerful queen.,Say she shall be a high and mighty queen .
15730,"As her mother doth, to vail the title.","To vail the title , as her mother doth ."
15731,I will love her for the rest of my life.,Say I will love her everlastingly .
15732,But how long will that title last?,"But how long shall that title ""ever"" last ?"
15733,She was in force at her fair life's end.,Sweetly in force unto her fair life's end .
15734,How long shall her sweet life last?,But how long fairly shall her sweet life last ?
15735,"As long as heaven and nature continue to grow, so be it.",As long as heaven and nature lengthens it .
15736,"As long as Richard likes it, that's all.",As long as hell and Richard likes of it .
15737,"Is her subject low? Say I, her leader.","Say I , her sovereign , am her subject low ."
15738,She dislikes such sovereignty.,"But she , your subject , loathes such sovereignty ."
15739,I want you to be eloquent in my defense.,Be eloquent in my behalf to her .
15740,Being told an honest tale is the best way to speed it up.,An honest tale speeds best being plainly told .
15741,Then tell my story to her.,Then plainly to her tell my loving tale .
15742,It is too harsh a style to be plain and not honest.,Plain and not honest is too harsh a style .
15743,Your reasons are too quick and shallow.,Your reasons are too shallow and too quick .
15744,"My reasons are too deep and dead, and poor infants are in their graves.","O no , my reasons are too deep and dead , Too deep and dead , poor infants , in their graves ."
15745,"That is past, madam, and the harp is not on that string.","Harp not on that string , madam ; that is past ."
15746,I will keep harp on it until heart- strings break.,Harp on it still shall I till heart-strings break .
15747,"By my Garter and my crown, Profaned, and the third usurped, by my George, my Garter, and my crown.","Now by my George , my Garter , and my crown , Profaned , dishonored , and the third usurped ."
15748,"I don't swear by anything, for this is not an oath.","I swear , By nothing , for this is no oath ."
15749,"Then, by myself, he is self-misused.","Then , by myself , Thyself is self-misused ."
15750,"Now, by the world, 'T is full of foul wrongs.","Now , by the world , 'T is full of thy foul wrongs ."
15751,My life has been ruined by my father's death.,"My father's death , Thy life hath it dishonored ."
15752,"My child had graced the tender temples of my child, and both the princes had been breathing here, which now was two tender bedfellows for dust.","If thou hadst feared to break an oath by Him , Th ' imperial metal circling now thy head Had graced the tender temples of my child , And both the princes had been breathing here , Which now , two tender bedfellows for dust , Thy broken faith hath made the prey for worms ."
15753,What do you think can be said by now?,What canst thou swear by now ?
15754,The time has come.,The time to come .
15755,The children live with their fathers who have slaughtered the youth and the parents who have butchered the old plants.,"The children live whose fathers thou hast slaughtered , Ungoverned youth , to wail it in their age ; The parents live whose children thou hast butchered , Old barren plants , to wail it with their age ."
15756,"By times ill-used o'erpast, wear not by time to come, for that you hast Misused ere used.","Swear not by time to come , for that thou hast Misused ere used , by times ill-used o'erpast ."
15757,I thrive in my dangerous affairs of hostile arms as I plan to prosper and repent.,"As I intend to prosper and repent , So thrive I in my dangerous affairs Of hostile arms !"
15758,"I am confused, Heaven and fortune bar me happy hours, day and night, yield me not light, nor night, be opposite all planets of good luck, to my proceedings.","Myself myself confound , Heaven and fortune bar me happy hours , Day , yield me not thy light , nor night thy rest , Be opposite all planets of good luck To my proceedings if , with dear heart's love , Immaculate devotion , holy thoughts , I tender not thy beauteous princely daughter ."
15759,My happiness and hers are included in her.,In her consists my happiness and thine .
15760,"Urge the necessity and state of times, and be not peevish found in great designs.","Urge the necessity and state of times , And be not peevish found in great designs ."
15761,Is it possible that I will be tempted of the devil?,Shall I be tempted of the devil thus ?
15762,"If the devil wants you to do good, that's alright.","Ay , if the devil tempt you to do good ."
15763,"If you think your remembrance is wrong, you're wrong.","Ay , if your self's remembrance wrong yourself ."
15764,My children were killed by Thou.,Yet thou didst kill my children .
15765,"They will breed Selves of themselves in that nest of spicery, and I will bury them in your daughter's womb.","But in your daughter's womb I bury them , Where , in that nest of spicery , they will breed Selves of themselves , to your recomforture ."
15766,Is it possible that I will win my daughter to your will.,Shall I go win my daughter to thy will ?
15767,"By the way, be a happy mother by the deed.",And be a happy mother by the deed .
15768,I am going.,I go .
15769,You will understand from her mind when I write to you very soon.,"Write to me very shortly , And you shall understand from me her mind ."
15770,"To our shores, Unarmed and unresolved to beat them back, are many doubtful hollow-hearted friends.","To our shores Throng many doubtful hollow-hearted friends , Unarmed and unresolved to beat them back ."
15771,"They were expecting the aid of Buckingham to welcome them, but they thought they were the admiral.","Tis thought that Richmond is their admiral ; And there they hull , expecting but the aid Of Buckingham to welcome them ashore ."
15772,"A light-foot friend post to the duke of Norfolk, Ratcliffe, thyself, or Catesby.","Some light-foot friend post to the duke of Norfolk , Ratcliffe , thyself , or Catesby ."
15773,", fly to the duke.","Catesby , fly to the duke ."
15774,"I will, my lord, with all haste.","I will , my lord , with all convenient haste ."
15775,"Ratcliffe, come hither.","Ratcliffe , come hither ."
15776,The post to Salisbury was dispatched.,Post to Salisbury .
15777,"Good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good.","O true , good Catesby ."
15778,"He can make the greatest strength and power, and meet me suddenly at Salisbury.",Bid him levy straight The greatest strength and power that he can make And meet me suddenly at Salisbury .
15779,I am going.,I go .
15780,Is it possible that I will do at Salisbury?,"What , may it please you , shall I do at Salisbury ?"
15781,What would I do there before I leave?,"Why , what wouldst thou do there before I go ?"
15782,I was told that I should post before your Highness.,Your Highness told me I should post before .
15783,My mind is not the same as it used to be.,My mind is changed .
15784,What news do you have with Stanley?,"Stanley , what news with you ?"
15785,"None good, my liege, to please you with the hearing, Nor none so bad, but well may be reported.","None good , my liege , to please you with the hearing , Nor none so bad but well may be reported ."
15786,Hoyday is a question.,"Hoyday , a riddle !"
15787,"Neither good nor bad, that's what.",Neither good nor bad .
15788,Is it necessary for him to run so many miles about when he may tell his tale the nearest way?,What need'st thou run so many mile about When thou mayst tell thy tale the nearest way ?
15789,What news do you get once more?,"Once more , what news ?"
15790,There is a person on the water.,Richmond is on the seas .
15791,He was let to sink and be the seas on him.,"There let him sink , and be the seas on him !"
15792,What do you think about the white-livered runagate?,"White-livered runagate , what doth he there ?"
15793,"As you guess, well, as you know.","Well , as you guess ?"
15794,"He wants to claim the crown here in England, Stirred up by Buckingham, and Morton.","Stirred up by Dorset , Buckingham , and Morton , He makes for England , here to claim the crown ."
15795,It's my day and it's my life.,"It is my day , my life ."
15796,It was a black night and death was the life.,"Black night o'ershade thy day , and death thy life ."
15797,It's a fair creature and it's curse not thyself.,"Curse not thyself , fair creature ; thou art both ."
15798,To be revenged on thee would be something I would do.,"I would I were , to be revenged on thee ."
15799,His better course of action is not to breathe on the earth.,His better doth not breathe upon the earth .
15800,Is the chair not occupied?,Is the chair empty ?
15801,Is the sword in a straight line?,Is the sword unswayed ?
15802,The empire is unpossessed and the king is dead.,"Is the king dead , the empire unpossessed ?"
15803,We don't know if the heir of York is alive or dead.,What heir of York is there alive but we ?
15804,Who is England's king and who is York's heir?,And who is England's king but great York's heir ?
15805,Let me know what makes him on the seas.,"Then tell me , what makes he upon the seas ?"
15806,Where is his strength to beat him back?,"Where is thy power , then , to beat him back ?"
15807,Where are the tenants and their followers?,Where be thy tenants and thy followers ?
15808,"Are they not currently on the western shore, safe-conducting the rebels from their ships?","Are they not now upon the western shore , Safe-conducting the rebels from their ships ?"
15809,I have cold friends to me.,Cold friends to me .
15810,They should serve in the west when they are in the north.,What do they in the north When they should serve their sovereign in the west ?
15811,"They have not been commanded, mighty king.","They have not been commanded , mighty king ."
15812,"I'll muster up my friends and meet your Grace if you give me leave, please.","Pleaseth your Majesty to give me leave , I'll muster up my friends and meet your Grace Where and what time your Majesty shall please ."
15813,You have no reason to be suspicious of my friendship.,"Most mighty sovereign , You have no cause to hold my friendship doubtful ."
15814,I will never be a false person.,I never was nor never will be false .
15815,"Go and get the men, but leave behind your son George Stanley.","Go then and muster men , but leave behind Your son George Stanley ."
15816,"As I am well advertised by my friends, Sir Edward Courtney and his elder brother, the Bishop of Exeter, are also in arms.","My gracious sovereign , now in Devonshire , As I by friends am well advertised , Sir Edward Courtney and the haughty prelate , Bishop of Exeter , his elder brother , With many more confederates are in arms ."
15817,"In Kent, my liege, the Guilfords are in arms, and every hour more competitors flock to the rebels, and their power grows strong.","In Kent , my liege , the Guilfords are in arms , And every hour more competitors Flock to the rebels , and their power grows strong ."
15818,"Out on you, owls, my lord, the army of great Buckingham.","My lord , the army of great Buckingham , Out on you , owls !"
15819,Songs of death are the only thing.,Nothing but songs of death .
15820,"The Breton navy is dispersed by tempest, but this good comfort brings me to you.",But this good comfort bring I to your Highness : The Breton navy is dispersed by tempest .
15821,"March on since we are up in arms, if not to fight with foreign enemies, yet to beat down these rebels here at home.","March on , march on , since we are up in arms , If not to fight with foreign enemies , Yet to beat down these rebels here at home ."
15822,There is a chance that a royal battle might be won and lost.,"While we reason here , A royal battle might be won and lost ."
15823,Buckingham be brought to Salisbury by someone.,Someone take order Buckingham be brought To Salisbury .
15824,The rest will follow me.,The rest march on with me .
15825,Do you know where princelyRichmond is now?,"But , tell me , where is princely Richmond now ?"
15826,At either Ha'rfordwest in Wales or at Pembroke.,"At Pembroke , or at Ha'rfordwest in Wales ."
15827,"Sir Walter Herbert, a renowned soldier, Sir Gilbert Talbot, Sir William Stanley, Oxford, redoubted Pembroke, Sir James Blunt, and Rice ap Thomas were some of the great names.","Sir Walter Herbert , a renowned soldier ; Sir Gilbert Talbot , Sir William Stanley , Oxford , redoubted Pembroke , Sir James Blunt , And Rice ap Thomas , with a valiant crew , And many other of great name and worth ; And towards London they do bend their power , If by the way they be not fought withal ."
15828,"The son of York made a glorious summer for us, and all the clouds that hovered over our house.","Now is the winter of our discontent Made glorious summer by this son of York , And all the clouds that loured upon our house In the deep bosom of the ocean buried ."
15829,"Grim-visaged war smoothed his wrinkled front, instead of mounting barbed steeds to frighten the souls of fearful adversaries, he went to a lady's chamber.","Grim-visaged war hath smoothed his wrinkled front ; And now , instead of mounting barbed steeds To fright the souls of fearful adversaries , He capers nimbly in a lady's chamber To the lascivious pleasing of a lute ."
15830,Will King Richard allow me to speak with him?,Will not King Richard let me speak with him ?
15831,"No, my good lord.","No , my good lord ."
15832,Be patient and be patient.,Therefore be patient .
15833,"Hastings and Edward's children, Grey and Rivers, Holy King Henry and Edward, and all that have been corrupted by underhand, do through the clouds, if you are unhappy.","Hastings and Edward's children , Grey and Rivers , Holy King Henry and thy fair son Edward , Vaughan , and all that have miscarried By underhand , corrupted , foul injustice , If that your moody , discontented souls Do through the clouds behold this present hour , Even for revenge mock my destruction. , This is All Souls ' Day , fellow , is it not ?"
15834,"It is, indeed.",It is .
15835,"All Souls'Day is my body's doomsday, why.","Why , then All Souls ' Day is my body's doomsday ."
15836,"In King Edward's time, I wished I would fall on my sword when I was found to be False to his children and his wife's allies.","This is the day which , in King Edward's time , I wished might fall on me when I was found False to his children and his wife's allies ."
15837,I wanted to fall because of the false faith of the man who I most trusted.,This is the day wherein I wished to fall By the false faith of him who most I trusted .
15838,The All Souls' Day to my fearful soul is the determined respite of my wrongs.,"This , this All Souls ' Day to my fearful soul Is the determined respite of my wrongs ."
15839,"The All-seers which I dallied with Hath turned my feigned prayer on my head, and gave in earnest what I begged in jest.",That high All-seer which I dallied with Hath turned my feigned prayer on my head And given in earnest what I begged in jest .
15840,He force the swords of the wicked men to turn their own points.,Thus doth he force the swords of wicked men To turn their own points in their masters ' bosoms .
15841,The due of blame should be blamed for the wrong.,"Wrong hath but wrong , and blame the due of blame ."
15842,His friends will turn to us if I am wrong.,I doubt not but his friends will turn to us .
15843,He doesn't have friends but he does have friends who are afraid.,He hath no friends but who are friends for fear .
15844,Which in his greatest need will come from him.,Which in his dearest need will fly from him .
15845,All for our perspective.,All for our vantage .
15846,"Then, in God's name, march.","Then , in God's name , march ."
15847,True hope is swift and flies with the swallow's wings.,"True hope is swift , and flies with swallow's wings ."
15848,Kings make gods and meaner creatures.,"Kings it makes gods , and meaner creatures kings ."
15849,My heart is ten times lighter than my appearance.,My heart is ten times lighter than my looks .
15850,"My Lord of Norfolk, Here is the most gracious liege.","My Lord of Norfolk , Here , most gracious liege ."
15851,"We must have knocks in Norfolk, must we not?","Norfolk , we must have knocks , ha , must we not ?"
15852,"My loving lord, we must both give and take.","We must both give and take , my loving lord ."
15853,"Here will I lie tonight, up with my tent!","Up with my tent ! , Here will I lie tonight ."
15854,But where will we be tomorrow?,But where tomorrow ?
15855,"Well, all's one for that.","Well , all's one for that ."
15856,The power of six or seven thousand is their highest.,Six or seven thousand is their utmost power .
15857,Why does our battalia increase that account.,"Why , our battalia trebles that account ."
15858,"The king's name is a tower of strength, which the adverse party want.","Besides , the king's name is a tower of strength Which they upon the adverse party want ."
15859,Tomorrow is a busy day so let's lack no discipline and make no delay.,"Let's lack no discipline , make no delay , For , lords , tomorrow is a busy day ."
15860,"Sir William Brandon, Sir Walter Herbert, and my Lord of Oxford, stay with me.","My Lord of Oxford , you , Sir William Brandon , And you , Sir Walter Herbert , stay with me ."
15861,"By the second hour in the morning, the earl should be able to see me in my tent, because Good Captain Blunt is in the earl of Pembroke.","The earl of Pembroke keeps his regiment , Good Captain Blunt , bear my goodnight to him , And by the second hour in the morning Desire the earl to see me in my tent ."
15862,"Unless I have mista'en his colors much, which I am assured I have not done, his army is half a mile South from the power of the king.","Unless I have mista'en his colors much , Which well I am assured I have not done , His regiment lies half a mile , at least , South from the mighty power of the king ."
15863,"If it is possible, Sweet Blunt, make some good means to speak with him, and give him this most needful note.","If without peril it be possible , Sweet Blunt , make some good means to speak with him , And give him from me this most needful note ."
15864,"My lord, I will do it upon my life.","Upon my life , my lord , I'll undertake it ."
15865,He lives a better life than he could.,He lives that loves thee better than he could .
15866,He should be named.,Name him .
15867,There is a plantagenet.,Plantagenet .
15868,"That was he, why?","Why , that was he ."
15869,One of better nature's name is the selfsame one.,"The selfsame name , but one of better nature ."
15870,Where is he located?,Where is he ?
15871,Here is where we are.,Here .
15872,Why did you spit at me?,Why dost thou spit at me ?
15873,Would it have been fatal for him?,Would it were mortal poison for thy sake .
15874,The place was so sweet that poison never came from it.,Never came poison from so sweet a place .
15875,Never put poison on an animal.,Never hung poison on a fouler toad .
15876,It's out of my sight.,Out of my sight !
15877,Thou dost cause my eyes to hurt.,Thou dost infect mine eyes .
15878,"Thine eyes, sweet lady, have been in my possession.","Thine eyes , sweet lady , have infected mine ."
15879,They were basilisks to strike thee dead.,Would they were basilisks to strike thee dead .
15880,"Good night, good Captain Blunt.","Good night , good Captain Blunt ."
15881,"Gentlemen, let us talk about tomorrow's business into my tent.","Come , gentlemen , Let us consult upon tomorrow's business Into my tent ."
15882,The temperature is cold and raw.,The dew is raw and cold .
15883,"""T o""clock is what it is.","What is ""t o""clock ?"
